,,,,NIS_CEN,NIS_AMI1,,,
,,,V2,-290.10,-293.74,,,
AperName,DDCName,V2,V3,-697.50,-762.31,Minimum,NIS_CEN,NIS_AMI1
NIS_CEN_OSS,NIS_CNTR,-290.10,-697.50,0.00,64.91,0.00,TRUE,FALSE
NIS_CEN,NIS_CNTR,-290.10,-697.50,0.00,64.91,0.00,TRUE,FALSE
NIS_AMI1,NIS_AMI,-293.74,-762.31,64.91,0.00,0.00,FALSE,TRUE
NIS_AMI2,NIS_AMI,-291.92,-761.18,63.71,2.14,2.14,FALSE,TRUE
NIS_AMI3,NIS_AMI,-291.89,-763.36,65.88,2.12,2.12,FALSE,TRUE
NIS_AMI4,NIS_AMI,-294.64,-763.44,66.09,1.44,1.44,FALSE,TRUE
NIS_AMITA,NIS_AMI,-293.52,-757.57,60.17,4.75,4.75,FALSE,TRUE
NIS_SOSSTA,NIS_CNTR,-351.05,-686.28,61.97,95.21,61.97,TRUE,FALSE
NIS_WFSS_OFFSET,NIS_CNTR,-289.97,-697.72,0.26,64.70,0.26,TRUE,FALSE
NIS_WFSS64,NIS_CNTR,-355.61,-632.47,92.30,143.83,92.30,TRUE,FALSE
NIS_WFSS64R,NIS_CNTR,-354.80,-712.86,66.50,78.58,66.50,TRUE,FALSE
NIS_WFSS64R3,NIS_CNTR,-355.43,-650.07,80.73,128.08,80.73,TRUE,FALSE
NIS_WFSS64C,NIS_CNTR,-275.81,-632.10,66.94,131.44,66.94,TRUE,FALSE
NIS_WFSS64C3,NIS_CNTR,-338.12,-632.40,80.90,137.29,80.90,TRUE,FALSE
NIS_WFSS128,NIS_CNTR,-352.47,-635.58,87.88,139.68,87.88,TRUE,FALSE
NIS_WFSS128R,NIS_CNTR,-352.71,-712.85,64.46,76.97,64.46,TRUE,FALSE
NIS_WFSS128R3,NIS_CNTR,-353.34,-650.06,79.05,127.09,79.05,TRUE,FALSE
NIS_WFSS128C,NIS_CNTR,-275.78,-634.21,64.89,129.36,64.89,TRUE,FALSE
NIS_WFSS128C3,NIS_CNTR,-338.10,-634.50,79.20,135.29,79.20,TRUE,FALSE
NIS_SUB64,NIS_CNTR,-355.61,-632.47,92.30,143.83,92.30,TRUE,FALSE
NIS_SUB128,NIS_CNTR,-353.49,-634.57,89.33,141.03,89.33,TRUE,FALSE
NIS_SUB256,NIS_CNTR,-349.27,-638.76,83.37,135.46,83.37,TRUE,FALSE
NIS_SUBAMPCAL,NIS_CNTR,-290.10,-697.50,0.00,64.91,0.00,TRUE,FALSE
NIS_SUBSTRIP96,NIS_CNTR,-351.05,-686.28,61.97,95.21,61.97,TRUE,FALSE
NIS_SUBSTRIP256,NIS_CNTR,-351.05,-686.28,61.97,95.21,61.97,TRUE,FALSE
NIS_FP1MIMF,NIS_CNTR,-290.13,-698.26,0.76,64.16,0.76,TRUE,FALSE
NIS_FP2MIMF,NIS_CNTR,-335.26,-721.94,51.35,57.92,51.35,TRUE,FALSE
NIS_FP3MIMF,NIS_AMI,-228.04,-751.62,82.34,66.56,66.56,FALSE,TRUE
NIS_FP4MIMF,NIS_CNTR,-246.86,-641.65,70.63,129.45,70.63,TRUE,FALSE
NIS_FP5MIMF,NIS_CNTR,-351.15,-636.89,86.02,137.94,86.02,TRUE,FALSE
NIS_AMIFULL,NIS_AMI,-293.74,-762.31,64.91,0.00,0.00,FALSE,TRUE
NIS_SOSSFULL,NIS_CNTR,-351.05,-686.28,61.97,95.21,61.97,TRUE,FALSE
,,,,,,,NIS_CNTR,NIS_AMI